time,control,MK801
9.29715,-47.75,-41.59375
9.2972,-48.25,-41.5625
9.29725,-48.15625,-41.25
9.2973,-47.6875,-41.34375
9.29735,-47.9375,-41.59375
9.2974,-48.25,-41.5625
9.297450000000001,-47.90625,-41.375
9.297500000000001,-47.625,-41.3125
9.297550000000001,-47.9375,-41.40625
9.297600000000001,-48.21875,-41.625
9.29765,-48.09375,-41.5
9.2977,-47.84375,-41.40625
9.29775,-47.78125,-41.4375
9.2978,-48.09375,-41.3125
9.29785,-48.0625,-41.4375
9.2979,-47.8125,-41.375
9.29795,-47.625,-41.0625
9.298,-48.25,-40.9375
9.29805,-48.34375,-41.28125
9.2981,-48.03125,-41.25
9.29815,-47.71875,-40.90625
9.2982,-48.09375,-40.84375
9.298250000000001,-48.09375,-40.9375
9.298300000000001,-47.78125,-41.0
9.298350000000001,-47.875,-40.75
9.2984,-48.125,-40.75
9.29845,-48.25,-40.875
9.2985,-48.125,-40.90625
9.29855,-47.78125,-40.75
9.2986,-47.71875,-40.625
9.29865,-47.96875,-40.5625
9.2987,-48.0,-40.21875
9.29875,-48.09375,-40.4375
9.2988,-47.875,-40.28125
9.29885,-48.21875,-39.71875
9.2989,-48.25,-39.15625
9.29895,-47.90625,-31.25
9.299000000000001,-47.5625,-14.40625
9.299050000000001,-47.84375,20.28125
9.299100000000001,-48.125,49.25
9.299150000000001,-48.03125,52.21875
9.2992,-47.875,50.46875
9.29925,-48.03125,47.15625
9.2993,-48.09375,42.1875
9.29935,-47.9375,36.21875
9.2994,-47.78125,30.65625
9.29945,-47.6875,24.40625
9.2995,-48.3125,18.03125
9.29955,-48.28125,11.21875
9.2996,-48.03125,5.0
9.29965,-47.71875,-1.1875
9.2997,-48.15625,-7.15625
9.299750000000001,-48.15625,-12.9375
9.299800000000001,-47.90625,-18.40625
9.299850000000001,-47.625,-23.90625
9.299900000000001,-48.125,-28.5
9.29995,-48.34375,-31.531248
9.3,-48.15625,-34.09375
9.30005,-47.6875,-35.78125
9.3001,-47.96875,-37.34375
9.30015,-48.03125,-38.5
9.3002,-47.9375,-38.875
9.30025,-47.71875,-39.4375
9.3003,-48.03125,-39.90625
9.30035,-48.375,-40.4375
